date,code,name,check_time,dip_met,action
2026-05-28,012330,현대모비스,09:18:58,False,waiting
2026-05-28,012330,현대모비스,09:19:58,False,waiting
2026-05-28,012330,현대모비스,09:20:59,False,waiting
2026-05-28,012330,현대모비스,09:21:59,False,waiting
2026-05-28,012330,현대모비스,09:22:59,False,waiting
2026-05-28,012330,현대모비스,09:24:00,False,waiting
2026-05-28,012330,현대모비스,09:25:00,False,waiting
2026-05-28,012330,현대모비스,09:26:01,False,waiting
2026-05-28,012330,현대모비스,09:27:01,False,waiting
2026-05-28,012330,현대모비스,09:28:02,False,waiting
2026-05-28,012330,현대모비스,09:29:02,False,waiting
2026-05-28,012330,현대모비스,09:30:02,False,waiting
2026-05-28,012330,현대모비스,09:31:03,False,waiting
2026-05-28,012330,현대모비스,09:32:03,False,waiting
2026-05-28,012330,현대모비스,09:33:04,False,waiting
2026-05-28,012330,현대모비스,09:34:04,False,waiting
2026-05-28,012330,현대모비스,09:35:05,False,waiting
2026-05-28,012330,현대모비스,09:36:08,True,bought_relaxed
2026-06-01,000270,기아,09:15:51,False,waiting
2026-06-01,000270,기아,09:16:51,False,waiting
2026-06-01,000270,기아,09:17:51,False,waiting
2026-06-01,000270,기아,09:18:52,False,waiting
2026-06-01,000270,기아,09:19:52,False,waiting
2026-06-01,000270,기아,09:20:52,False,waiting
2026-06-01,000270,기아,09:21:54,True,buy_failed
2026-06-01,000270,기아,09:22:54,False,waiting
2026-06-01,000270,기아,09:23:55,False,waiting
2026-06-01,000270,기아,09:24:55,False,waiting
2026-06-01,000270,기아,09:25:55,False,waiting
2026-06-01,000270,기아,09:26:56,False,waiting
2026-06-01,000270,기아,09:27:56,False,waiting
2026-06-01,000270,기아,09:28:56,False,waiting
2026-06-01,000270,기아,09:29:57,False,waiting
2026-06-01,000270,기아,09:30:57,False,waiting
2026-06-01,000270,기아,09:31:58,False,waiting
2026-06-01,000270,기아,09:32:58,False,waiting
2026-06-01,000270,기아,09:33:58,False,waiting
2026-06-01,000270,기아,09:35:00,True,buy_failed
2026-06-01,000270,기아,09:36:05,True,buy_failed
2026-06-02,018260,삼성에스디에스,09:15:55,False,waiting
2026-06-02,034220,LG디스플레이,09:15:58,False,waiting
2026-06-02,018260,삼성에스디에스,09:16:58,False,waiting
2026-06-02,034220,LG디스플레이,09:16:58,False,waiting
2026-06-02,018260,삼성에스디에스,09:17:59,False,waiting
2026-06-02,034220,LG디스플레이,09:18:03,True,bought_dip
2026-06-02,018260,삼성에스디에스,09:19:03,False,waiting
2026-06-02,018260,삼성에스디에스,09:20:03,False,waiting
2026-06-02,018260,삼성에스디에스,09:21:04,False,waiting
2026-06-02,018260,삼성에스디에스,09:22:04,False,waiting
2026-06-02,018260,삼성에스디에스,09:23:05,False,waiting
2026-06-02,018260,삼성에스디에스,09:24:05,False,waiting
2026-06-02,018260,삼성에스디에스,09:25:06,False,waiting
2026-06-02,018260,삼성에스디에스,09:26:06,False,waiting
2026-06-02,018260,삼성에스디에스,09:27:06,False,waiting
2026-06-02,018260,삼성에스디에스,09:28:07,False,waiting
2026-06-02,018260,삼성에스디에스,09:29:07,False,waiting
2026-06-02,018260,삼성에스디에스,09:30:09,True,bought_relaxed
2026-06-04,009150,삼성전기,09:15:58,False,waiting
2026-06-04,009150,삼성전기,09:16:00,False,waiting
2026-06-04,009150,삼성전기,09:17:01,False,waiting
2026-06-04,009150,삼성전기,09:17:01,False,waiting
2026-06-04,009150,삼성전기,09:18:02,False,waiting
2026-06-04,009150,삼성전기,09:18:02,False,waiting
2026-06-04,009150,삼성전기,09:19:03,False,waiting
2026-06-04,009150,삼성전기,09:19:03,False,waiting
2026-06-04,009150,삼성전기,09:20:03,False,waiting
2026-06-04,009150,삼성전기,09:20:04,False,waiting
2026-06-04,009150,삼성전기,09:21:04,False,waiting
2026-06-04,009150,삼성전기,09:21:05,False,waiting
2026-06-04,009150,삼성전기,09:22:05,False,waiting
2026-06-04,009150,삼성전기,09:22:06,False,waiting
2026-06-04,009150,삼성전기,09:23:06,False,waiting
2026-06-04,009150,삼성전기,09:23:06,False,waiting
2026-06-04,009150,삼성전기,09:24:07,False,waiting
2026-06-04,009150,삼성전기,09:24:07,False,waiting
2026-06-04,009150,삼성전기,09:25:08,False,waiting
2026-06-04,009150,삼성전기,09:25:08,False,waiting
2026-06-04,009150,삼성전기,09:26:08,False,waiting
2026-06-04,009150,삼성전기,09:26:09,False,waiting
2026-06-04,009150,삼성전기,09:27:09,True,bought_dip
2026-06-04,009150,삼성전기,09:27:10,True,bought_dip
2026-06-05,084670,동양고속,09:16:02,False,waiting
2026-06-05,000650,천일고속,09:16:06,True,bought_dip
2026-06-05,023530,롯데쇼핑,09:16:07,False,waiting
2026-06-05,084670,동양고속,09:17:07,False,waiting
2026-06-05,023530,롯데쇼핑,09:17:08,False,waiting
2026-06-05,084670,동양고속,09:18:08,False,waiting
2026-06-05,023530,롯데쇼핑,09:18:08,False,waiting
2026-06-05,084670,동양고속,09:19:09,False,waiting
2026-06-05,023530,롯데쇼핑,09:19:14,True,bought_dip
2026-06-05,084670,동양고속,09:20:14,False,waiting
2026-06-05,084670,동양고속,09:21:15,False,waiting
2026-06-05,084670,동양고속,09:22:15,False,waiting
2026-06-05,084670,동양고속,09:23:16,True,bought_dip
2026-06-09,080220,제주반도체,09:16:16,False,waiting
2026-06-09,000660,SK하이닉스,09:16:17,False,waiting
2026-06-09,005930,삼성전자,09:16:17,False,waiting
2026-06-09,080220,제주반도체,09:17:17,False,waiting
2026-06-09,000660,SK하이닉스,09:17:18,False,waiting
2026-06-09,005930,삼성전자,09:17:18,False,waiting
2026-06-09,080220,제주반도체,09:18:19,False,waiting
2026-06-09,000660,SK하이닉스,09:18:32,True,buy_failed
2026-06-09,005930,삼성전자,09:18:45,True,buy_failed
2026-06-09,080220,제주반도체,09:19:45,False,waiting
2026-06-09,000660,SK하이닉스,09:19:46,False,waiting
2026-06-09,005930,삼성전자,09:19:46,False,waiting
2026-06-09,080220,제주반도체,09:20:46,False,waiting
2026-06-09,000660,SK하이닉스,09:21:00,True,buy_failed
2026-06-09,005930,삼성전자,09:21:00,False,waiting
2026-06-09,080220,제주반도체,09:22:00,False,waiting
2026-06-09,000660,SK하이닉스,09:22:01,False,waiting
2026-06-09,005930,삼성전자,09:22:01,False,waiting
2026-06-09,080220,제주반도체,09:23:02,False,waiting
2026-06-09,000660,SK하이닉스,09:23:02,False,waiting
2026-06-09,005930,삼성전자,09:23:02,False,waiting
2026-06-09,080220,제주반도체,09:24:03,False,waiting
2026-06-09,000660,SK하이닉스,09:24:03,False,waiting
2026-06-09,005930,삼성전자,09:24:04,False,waiting
2026-06-09,080220,제주반도체,09:25:04,False,waiting
2026-06-09,000660,SK하이닉스,09:25:04,False,waiting
2026-06-09,005930,삼성전자,09:25:05,False,waiting
2026-06-09,080220,제주반도체,09:26:05,False,waiting
2026-06-09,000660,SK하이닉스,09:26:06,False,waiting
2026-06-09,005930,삼성전자,09:26:06,False,waiting
2026-06-09,080220,제주반도체,09:27:06,False,waiting
2026-06-09,000660,SK하이닉스,09:27:07,False,waiting
2026-06-09,005930,삼성전자,09:27:07,False,waiting
2026-06-09,080220,제주반도체,09:28:08,False,waiting
2026-06-09,000660,SK하이닉스,09:28:10,False,waiting
2026-06-09,005930,삼성전자,09:28:10,False,waiting
2026-06-09,080220,제주반도체,09:29:11,False,waiting
2026-06-09,000660,SK하이닉스,09:29:11,False,waiting
2026-06-09,005930,삼성전자,09:29:12,False,waiting
2026-06-09,080220,제주반도체,09:30:25,True,buy_failed
2026-06-09,000660,SK하이닉스,09:30:39,True,buy_failed
2026-06-09,005930,삼성전자,09:30:52,True,buy_failed
2026-06-09,080220,제주반도체,09:31:52,False,waiting
2026-06-09,005930,삼성전자,09:31:52,False,waiting
2026-06-09,080220,제주반도체,09:32:53,False,waiting
2026-06-09,005930,삼성전자,09:32:53,False,waiting
2026-06-09,080220,제주반도체,09:34:07,True,buy_failed
2026-06-09,005930,삼성전자,09:34:07,False,waiting
2026-06-09,080220,제주반도체,09:35:07,False,waiting
2026-06-09,005930,삼성전자,09:35:08,False,waiting
2026-06-09,080220,제주반도체,09:36:08,False,waiting
2026-06-09,005930,삼성전자,09:36:08,False,waiting
2026-06-09,080220,제주반도체,09:37:22,True,buy_failed
2026-06-09,005930,삼성전자,09:37:35,True,buy_failed
2026-06-12,000660,SK하이닉스,09:17:33,False,waiting
2026-06-12,000660,SK하이닉스,09:17:36,False,waiting
2026-06-12,222800,심텍,09:17:38,False,waiting
2026-06-12,000660,SK하이닉스,09:18:41,False,waiting
2026-06-12,000660,SK하이닉스,09:18:41,False,waiting
2026-06-12,222800,심텍,09:18:46,True,bought_dip
2026-06-12,000660,SK하이닉스,09:19:48,False,waiting
2026-06-12,000660,SK하이닉스,09:19:50,False,waiting
2026-06-12,000660,SK하이닉스,09:20:51,False,waiting
2026-06-12,000660,SK하이닉스,09:20:54,False,waiting
2026-06-12,000660,SK하이닉스,09:21:54,False,waiting
2026-06-12,000660,SK하이닉스,09:21:55,False,waiting
2026-06-12,000660,SK하이닉스,09:22:57,False,waiting
2026-06-12,000660,SK하이닉스,09:22:58,False,waiting
2026-06-12,000660,SK하이닉스,09:23:59,True,bought_dip
2026-06-12,000660,SK하이닉스,09:24:04,True,bought_dip
2026-06-15,009150,삼성전기,09:18:06,False,waiting
2026-06-15,009150,삼성전기,09:18:09,False,waiting
2026-06-15,009150,삼성전기,09:19:12,False,waiting
2026-06-15,009150,삼성전기,09:19:12,False,waiting
2026-06-15,009150,삼성전기,09:20:13,False,waiting
2026-06-15,009150,삼성전기,09:20:15,False,waiting
2026-06-15,009150,삼성전기,09:21:20,True,buy_failed
2026-06-15,009150,삼성전기,09:21:23,False,waiting
2026-06-15,009150,삼성전기,09:22:26,False,waiting
2026-06-15,009150,삼성전기,09:22:27,False,waiting
2026-06-15,009150,삼성전기,09:23:29,False,waiting
2026-06-15,009150,삼성전기,09:23:32,False,waiting
2026-06-15,009150,삼성전기,09:24:32,False,waiting
2026-06-15,009150,삼성전기,09:24:34,False,waiting
2026-06-15,009150,삼성전기,09:25:34,False,waiting
2026-06-15,009150,삼성전기,09:25:35,False,waiting
2026-06-15,009150,삼성전기,09:26:35,False,waiting
2026-06-15,009150,삼성전기,09:26:38,False,waiting
2026-06-15,009150,삼성전기,09:27:42,False,waiting
2026-06-15,009150,삼성전기,09:27:46,False,waiting
2026-06-15,009150,삼성전기,09:28:46,False,waiting
2026-06-15,009150,삼성전기,09:28:49,False,waiting
2026-06-15,009150,삼성전기,09:29:49,False,waiting
2026-06-15,009150,삼성전기,09:29:52,False,waiting
2026-06-15,009150,삼성전기,09:31:07,True,buy_failed
2026-06-15,009150,삼성전기,09:31:16,True,buy_failed
2026-06-15,009150,삼성전기,09:32:27,True,buy_failed
2026-06-15,009150,삼성전기,09:32:36,True,buy_failed
2026-06-15,009150,삼성전기,09:33:47,True,buy_failed
2026-06-16,023530,롯데쇼핑,09:19:23,True,buy_failed
2026-06-16,023530,롯데쇼핑,09:20:34,True,buy_failed
2026-06-16,023530,롯데쇼핑,09:21:39,False,waiting
2026-06-16,023530,롯데쇼핑,09:22:42,False,waiting
2026-06-16,023530,롯데쇼핑,09:23:48,False,waiting
2026-06-16,023530,롯데쇼핑,09:24:48,False,waiting
2026-06-16,023530,롯데쇼핑,09:26:04,True,buy_failed
2026-06-17,085620,미래에셋생명,09:18:34,False,waiting
2026-06-17,023530,롯데쇼핑,09:18:37,False,waiting
2026-06-17,085620,미래에셋생명,09:19:37,False,waiting
2026-06-17,023530,롯데쇼핑,09:19:38,False,waiting
2026-06-17,085620,미래에셋생명,09:20:42,False,waiting
2026-06-17,023530,롯데쇼핑,09:20:45,False,waiting
2026-06-17,085620,미래에셋생명,09:21:48,False,waiting
2026-06-17,023530,롯데쇼핑,09:21:49,False,waiting
2026-06-17,085620,미래에셋생명,09:22:51,False,waiting
2026-06-17,023530,롯데쇼핑,09:22:53,False,waiting
2026-06-17,085620,미래에셋생명,09:23:56,False,waiting
2026-06-17,023530,롯데쇼핑,09:23:59,False,waiting
2026-06-17,085620,미래에셋생명,09:25:13,True,bought_dip
2026-06-17,023530,롯데쇼핑,09:25:17,False,waiting
2026-06-17,023530,롯데쇼핑,09:26:19,False,waiting
2026-06-17,023530,롯데쇼핑,09:27:20,False,waiting
2026-06-17,023530,롯데쇼핑,09:28:23,False,waiting
2026-06-17,023530,롯데쇼핑,09:29:25,False,waiting
2026-06-17,023530,롯데쇼핑,09:30:31,False,waiting
2026-06-17,023530,롯데쇼핑,09:31:34,False,waiting
2026-06-17,023530,롯데쇼핑,09:32:37,False,waiting
2026-06-17,023530,롯데쇼핑,09:33:42,False,waiting
2026-06-17,023530,롯데쇼핑,09:34:45,False,waiting
2026-06-17,023530,롯데쇼핑,09:35:58,True,bought_relaxed
2026-06-18,088350,한화생명,09:19:44,False,waiting
2026-06-18,088350,한화생명,09:20:47,False,waiting
2026-06-18,088350,한화생명,09:21:50,False,waiting
2026-06-18,088350,한화생명,09:22:51,False,waiting
2026-06-18,088350,한화생명,09:23:54,False,waiting
2026-06-18,088350,한화생명,09:24:56,False,waiting
2026-06-18,088350,한화생명,09:25:59,False,waiting
2026-06-18,088350,한화생명,09:26:59,False,waiting
2026-06-18,088350,한화생명,09:28:01,False,waiting
2026-06-18,088350,한화생명,09:29:06,False,waiting
2026-06-18,088350,한화생명,09:30:34,False,skipped_unaffordable
2026-06-19,457370,한켐,09:19:26,False,waiting
2026-06-19,085620,미래에셋생명,09:19:44,True,bought_dip
2026-06-19,052710,아모텍,09:19:49,False,waiting
2026-06-19,005930,삼성전자,09:20:05,True,bought_dip
2026-06-19,457370,한켐,09:21:12,False,waiting
2026-06-19,052710,아모텍,09:21:13,False,waiting
2026-06-19,457370,한켐,09:22:15,False,waiting
2026-06-19,052710,아모텍,09:22:16,False,waiting
2026-06-19,457370,한켐,09:23:23,False,waiting
2026-06-19,052710,아모텍,09:23:29,False,waiting
2026-06-19,457370,한켐,09:24:30,False,waiting
2026-06-19,052710,아모텍,09:24:42,True,bought_dip
2026-06-19,457370,한켐,09:25:45,False,waiting
2026-06-19,457370,한켐,09:27:04,True,bought_dip
2026-06-22,403870,HPSP,09:15:58,False,skipped_unaffordable
2026-06-22,009150,삼성전기,09:16:59,False,waiting
2026-06-22,009150,삼성전기,09:17:59,False,waiting
2026-06-22,009150,삼성전기,09:19:00,False,waiting
2026-06-22,009150,삼성전기,09:20:00,False,waiting
2026-06-22,009150,삼성전기,09:21:00,False,waiting
2026-06-22,009150,삼성전기,09:22:01,False,waiting
2026-06-22,009150,삼성전기,09:23:01,False,waiting
2026-06-22,009150,삼성전기,09:24:02,False,waiting
2026-06-22,009150,삼성전기,09:25:02,False,waiting
2026-06-22,009150,삼성전기,09:26:02,False,waiting
2026-06-22,009150,삼성전기,09:27:03,False,waiting
2026-06-22,009150,삼성전기,09:28:03,False,waiting
2026-06-22,009150,삼성전기,09:29:03,False,waiting
2026-06-22,009150,삼성전기,09:30:08,True,bought_reserve
2026-06-24,000660,SK하이닉스,09:15:56,True,bought_dip
2026-06-25,122640,예스티,09:15:57,False,waiting
2026-06-25,122640,예스티,09:17:00,False,skipped_unaffordable
2026-06-25,000660,SK하이닉스,09:18:01,False,waiting
2026-06-25,000660,SK하이닉스,09:19:01,False,waiting
2026-06-25,000660,SK하이닉스,09:20:02,False,waiting
2026-06-25,000660,SK하이닉스,09:21:02,False,waiting
2026-06-25,000660,SK하이닉스,09:22:03,False,waiting
2026-06-25,000660,SK하이닉스,09:23:03,False,waiting
2026-06-25,000660,SK하이닉스,09:24:04,False,waiting
2026-06-25,000660,SK하이닉스,09:25:04,False,waiting
2026-06-25,000660,SK하이닉스,09:26:05,False,waiting
2026-06-25,000660,SK하이닉스,09:27:06,False,waiting
2026-06-25,000660,SK하이닉스,09:28:08,True,bought_reserve
