date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-15,제습기,3,34.41,002700,신일전자,1410,-3.09,False,1446.0,1402.0,1.04,,False,False,,,
2026-05-18,서울고속버스터미널 재개발 수혜,1,35.54,084670,동양고속,75000,82.48,False,42365.0,43108.0,17.54,,False,False,,,
2026-05-18,서울고속버스터미널 재개발 수혜,1,35.54,000650,천일고속,361000,62.61,False,221975.0,230683.0,17.38,,False,False,,,
2026-05-18,서울고속버스터미널 재개발 수혜,1,35.54,128820,대성산업,7530,4.29,False,7074.0,7550.0,2.65,,False,False,,,
2026-05-18,서울고속버스터미널 재개발 수혜,1,35.54,006040,동원산업,36700,-7.21,False,38380.0,39297.0,1.12,,False,False,,,
2026-05-18,스페이스X(SpaceX),2,23.68,100790,미래에셋벤처투자,59300,53.23,True,56062.0,35704.0,0.47,,False,False,,,
2026-05-18,스페이스X(SpaceX),2,23.68,027360,아주IB투자,16530,50.68,True,15538.0,10016.0,0.34,,False,False,,,
2026-05-18,스페이스X(SpaceX),2,23.68,006800,미래에셋증권,69700,-2.24,False,71640.0,68446.0,1.03,,False,False,,,
2026-05-18,스페이스X(SpaceX),2,23.68,347700,스피어,42950,-6.93,False,42738.0,44742.0,0.97,,False,False,,,
2026-05-18,LED장비,3,22.93,036930,주성엔지니어링,159200,120.19,True,131655.0,86258.0,1.26,0,True,True,,,
2026-05-18,LED장비,3,22.93,412350,레이저쎌,10650,28.31,True,8445.0,7099.0,1.39,0,True,True,,,
2026-05-18,LED장비,3,22.93,065130,탑엔지니어링,3745,10.8,True,3392.0,3249.0,4.42,0,True,True,,,
2026-05-18,LED장비,3,22.93,049080,기가레인,1577,-21.15,False,2139.0,1446.0,0.3,,False,False,,,
2026-05-18,LED장비,3,22.93,306620,지아이에스,2510,-23.48,False,3247.0,3091.0,0.86,,False,False,,,
2026-05-19,스페이스X(SpaceX),1,34.87,027360,아주IB투자,19190,60.85,True,15924.0,10260.0,2.29,,False,False,0.914,2281.0,303904.8
2026-05-19,스페이스X(SpaceX),1,34.87,321370,센서뷰,4190,38.33,True,3241.0,3193.0,5.7,,False,False,1.272,398.0,11066.0
